"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,187,"ROU","Romania",1,"Alba",1,"Abrud","",NA,"","Comune","Commune","","Oras Abrud"
2,187,"ROU","Romania",1,"Alba",2,"Aiud","",NA,"","Comune","Commune","","Municipiul Aiud"
3,187,"ROU","Romania",1,"Alba",3,"Alba Iulia","",NA,"","Comune","Commune","","Municipiul Alba Iulia"
4,187,"ROU","Romania",1,"Alba",4,"Albac","",NA,"","Comune","Commune","",""
5,187,"ROU","Romania",1,"Alba",5,"Almasu Mare","",NA,"","Comune","Commune","",""
6,187,"ROU","Romania",1,"Alba",6,"Arieseni","",NA,"","Comune","Commune","",""
7,187,"ROU","Romania",1,"Alba",7,"Avram Iancu","",NA,"","Comune","Commune","",""
8,187,"ROU","Romania",1,"Alba",8,"Baia De Aries","",NA,"","Comune","Commune","","Oras Baia De Aries"
9,187,"ROU","Romania",1,"Alba",9,"Berghin","",NA,"","Comune","Commune","",""
10,187,"ROU","Romania",1,"Alba",10,"Bistra","",NA,"","Comune","Commune","",""
11,187,"ROU","Romania",1,"Alba",11,"Blaj","",NA,"","Comune","Commune","","Municipiul Blaj"
12,187,"ROU","Romania",1,"Alba",12,"Blandiana","",NA,"","Comune","Commune","",""
13,187,"ROU","Romania",1,"Alba",13,"Bucium","",NA,"","Comune","Commune","",""
14,187,"ROU","Romania",1,"Alba",14,"Calnic","",NA,"","Comune","Commune","",""
15,187,"ROU","Romania",1,"Alba",15,"Campeni","",NA,"","Comune","Commune","","Oras Campeni"
16,187,"ROU","Romania",1,"Alba",16,"Cenade","",NA,"","Comune","Commune","",""
17,187,"ROU","Romania",1,"Alba",17,"Cergau Mare","",NA,"","Comune","Commune","","Cergau"
18,187,"ROU","Romania",1,"Alba",18,"Ceru-bacainti","",NA,"","Comune","Commune","",""
19,187,"ROU","Romania",1,"Alba",19,"Cetatea De Balta","",NA,"","Comune","Commune","",""
